iter	Passed	Remaining
0	192	192403
1	227	113494
2	435	144665
3	514	128053
4	713	142005
5	939	155618
6	1150	163170
7	1206	149576
8	1246	137226
9	1440	142646
10	1525	137118
11	1722	141850
12	1918	145652
13	2119	149284
14	2321	152438
15	2520	155026
16	2725	157577
17	2800	152780
18	3002	155001
19	3210	157327
20	3331	155289
21	3541	157428
22	3735	158668
23	3941	160296
24	4142	161575
25	4185	156811
26	4391	158253
27	4446	154354
28	4648	155650
29	4843	156609
30	4979	155649
31	5053	152861
32	5255	154015
33	5451	154896
34	5649	155762
